Month,Actual,CPP_Forecast,VHDL_Forecast,Error_CPP,Error_VHDL,AbsDev
Jan,7361.65,7062.10792,7062.111038208008,299.54207999999926,299.5389617919918,0.0031182080074358964
Feb,7311.01,6881.041976,6881.050888061523,429.9680239999998,429.9591119384768,0.008912061523005832
Mar,7203.47,6467.992031,6468.010284423828,735.4779690000005,735.4597155761721,0.018253423828355153
Apr,6731.25,6560.262087,6560.281982421875,170.98791299999993,170.968017578125,0.019895421874934982
May,6774.68,6600.396142,6600.41845703125,174.2838580000007,174.2615429687503,0.022315031250400352
Jun,6155.43,6662.022198,6662.046615600586,-506.59219799999937,-506.61661560058565,0.024417600586275512
Jul,6315.93,6606.410253,6606.438568115234,-290.4802529999997,-290.5085681152341,0.028315115234363475
Aug,6583.65,6712.934309,6712.96403503418,-129.28430900000058,-129.31403503418005,0.02972603417947539
Sep,5741.07,6601.826365,6601.860824584961,-860.7563650000002,-860.7908245849612,0.0344595849610414
Oct,6153.43,6751.93242,6751.967620849609,-598.5024199999998,-598.5376208496091,0.03520084960928216
Nov,6780.78,6837.012476,6837.049423217773,-56.23247600000013,-56.26942321777369,0.036947217773558805
Dec,6566.39,6973.502531,6973.540435791016,-407.11253099999976,-407.1504357910153,0.03790479101553501
